"@timestamp","source.ip","source.port","source.packets","source.bytes","destination.ip","destination.port","destination.packets","destination.bytes","network.bytes","network.transport","event.duration","network.packets"
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","44,926",4,288,"10.0.22.101","13,001",2,152,440,tcp,"330,427",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","44,926",2,144,"10.0.22.101","13,001",1,76,220,tcp,"292,300",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","54,634",4,288,"10.0.22.101","13,002",2,152,440,tcp,"265,419",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","54,634",2,144,"10.0.22.101","13,002",1,76,220,tcp,"224,680",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","40,800",4,288,"10.0.22.101","13,003",2,152,440,tcp,"283,727",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","40,800",2,144,"10.0.22.101","13,003",1,76,220,tcp,"245,168",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","37,402",4,288,"10.0.22.101","13,004",2,152,440,tcp,"241,755",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","37,402",2,144,"10.0.22.101","13,004",1,76,220,tcp,"196,433",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","47,586",4,288,"10.0.22.101","13,005",2,152,440,tcp,"289,214",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","47,586",2,144,"10.0.22.101","13,005",1,76,220,tcp,"206,776",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","40,574",4,288,"10.0.22.101","13,006",2,152,440,tcp,"250,944",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","40,574",2,144,"10.0.22.101","13,006",1,76,220,tcp,"200,659",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","44,938",4,288,"10.0.22.101","13,001",2,152,440,tcp,"243,717",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","44,938",2,144,"10.0.22.101","13,001",1,76,220,tcp,"194,949",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","54,646",4,288,"10.0.22.101","13,002",2,152,440,tcp,"393,877",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","54,646",2,144,"10.0.22.101","13,002",1,76,220,tcp,"197,458",3
