"@timestamp","source.bytes","source.packets","destination.bytes","destination.packets","network.packets","network.bytes","network.transport","event.duration"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"239,723"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"188,750"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"222,941"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"204,949"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"246,086"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"191,857"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"229,525"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"190,501"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"237,676"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"190,471"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"247,300"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"197,154"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"235,636"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"199,553"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"225,578"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"191,970"
"Jan 22, 2020 @ 17:20:10.004",116,1,,,1,116,udp,0
"Jan 22, 2020 @ 17:20:05.761",,,,,,,tcp,"2,874,000"
"Jan 22, 2020 @ 17:20:05.761",,,,,,,tcp,"2,888,000"
"Jan 22, 2020 @ 17:20:00.009","4,284,680","42,964","8,329,308","41,740","84,704","12,613,988",udp,"3,126,752,932,792"
"Jan 22, 2020 @ 17:20:00.009","2,142,340","21,482","4,164,654","20,870","42,352","6,306,994",udp,"3,126,752,794,357"
"Jan 22, 2020 @ 17:20:00.009",92,1,92,1,2,184,udp,"44,301"
"Jan 22, 2020 @ 17:20:00.009",92,1,92,1,2,184,udp,"1,386,185"
"Jan 22, 2020 @ 17:20:00.009",92,1,92,1,2,184,udp,"372,042"
"Jan 22, 2020 @ 17:20:00.009",92,1,92,1,2,184,udp,"47,758"
"Jan 22, 2020 @ 17:20:00.009",92,1,92,1,2,184,udp,"36,417"
"Jan 22, 2020 @ 17:20:00.009",92,1,92,1,2,184,udp,"647,757"
"Jan 22, 2020 @ 17:20:00.009",92,1,92,1,2,184,udp,"28,463"
"Jan 22, 2020 @ 17:20:00.009",92,1,92,1,2,184,udp,"28,100"
"Jan 22, 2020 @ 17:20:00.009","1,360",10,"2,143",7,17,"3,503",tcp,"3,158,866"
"Jan 22, 2020 @ 17:20:00.009","2,720",20,"4,286",14,34,"7,006",tcp,"3,158,888"
"Jan 22, 2020 @ 17:20:00.009","1,232",9,"2,652",7,16,"3,884",tcp,"511,160,976"
"Jan 22, 2020 @ 17:20:00.009","2,464",18,"5,304",14,32,"7,768",tcp,"511,177,498"
"Jan 22, 2020 @ 17:20:00.009","1,284",9,"2,058",6,15,"3,342",tcp,"3,046,065"
"Jan 22, 2020 @ 17:20:00.009","2,568",18,"4,116",12,30,"6,684",tcp,"3,079,408"
"Jan 22, 2020 @ 17:20:00.009","1,875",9,"2,135",6,15,"4,010",tcp,"2,815,725"
"Jan 22, 2020 @ 17:20:00.009","3,750",18,"4,270",12,30,"8,020",tcp,"2,836,139"
"Jan 22, 2020 @ 17:20:00.009","1,873",9,"2,135",6,15,"4,008",tcp,"2,919,485"
"Jan 22, 2020 @ 17:20:00.009","3,746",18,"4,270",12,30,"8,016",tcp,"2,939,836"
"Jan 22, 2020 @ 17:20:00.009","1,874",9,"2,135",6,15,"4,009",tcp,"3,061,814"
"Jan 22, 2020 @ 17:20:00.009","3,748",18,"4,270",12,30,"8,018",tcp,"3,090,922"
"Jan 22, 2020 @ 17:20:00.009","5,590,462","3,855","1,194,492","2,148","6,003","6,784,954",tcp,"2,938,335,166,642"
