source.bytes,source.packets,destination.bytes,destination.packets,network.packets,network.bytes,network.transport,event.duration
92.0,1.0,92.0,1.0,2.0,184.0,2.0,44798.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,115842.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,89198.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,90331.0
22740.0,330.0,302904.0,322.0,652.0,325644.0,1.0,8999936020002.0
1848.0,15.0,2345.0,11.0,26.0,4193.0,1.0,4096068166.0
1860.0,15.0,2366.0,11.0,26.0,4226.0,1.0,3584144921.0
56.0,1.0,56.0,1.0,2.0,112.0,1.0,45517.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,8704008305.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,126949.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,85878.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,106002.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,112969.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,40683.0
22740.0,330.0,302904.0,322.0,652.0,325644.0,1.0,8999936020002.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,9727877511.0
1860.0,15.0,2366.0,11.0,26.0,4226.0,1.0,3584144921.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,3588213580.0
1208.0,6.0,1929.0,6.0,12.0,3137.0,1.0,2048042029.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,67936.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,126949.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,115842.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,40683.0
2040.0,17.0,2497.0,12.0,29.0,4537.0,1.0,6143964261.0
1848.0,15.0,2345.0,11.0,26.0,4193.0,1.0,4096068166.0
1928.0,15.0,2521.0,13.0,28.0,4449.0,1.0,5120107429.0
111632.0,73.0,3616.0,50.0,123.0,115248.0,1.0,136192231854.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,85878.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,44798.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,112102.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,106002.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,112969.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,89198.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,6144013841.0
22740.0,330.0,302904.0,322.0,652.0,325644.0,1.0,8999936020002.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,5632229172.0
1736.0,13.0,2289.0,10.0,23.0,4025.0,1.0,3584182871.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,4096085561.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,3583895791.0
1736.0,13.0,2289.0,10.0,23.0,4025.0,1.0,3584229331.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,6143822861.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,6144007011.0
112.0,2.0,56.0,1.0,3.0,168.0,1.0,92491.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,6144013841.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,9727877511.0
2040.0,17.0,2497.0,12.0,29.0,4537.0,1.0,6143964261.0
1860.0,15.0,2366.0,11.0,26.0,4226.0,1.0,3584144921.0
1848.0,15.0,2345.0,11.0,26.0,4193.0,1.0,4096068166.0
1048.0,4.0,1593.0,5.0,9.0,2641.0,1.0,512052411.0
103388.0,67.0,3326.0,46.0,113.0,106714.0,1.0,127488063096.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,113151.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,120408.0
